size, bimodal, words only, image only
8,0.005021118464949,0.007965773400092,0.004356513965306
16,0.002879307593469,0.008171558722043,0.002701417553342
24,0.001365548728952,0.008031331371792,0.001283972981252
32,0.000947824784951,0.007807893421139,0.000873110920333
40,0.000931484470278,0.008060788309753,0.000843957890606
48,0.000827320596242,0.007953656537251,0.000796169159649
56,0.000966021575193,0.007782003961297,0.00090155379353
64,0.001173171060293,0.00797442604046,0.001058870851476
72,0.000936036593285,0.008021620441556,0.000864951473799
80,0.000704439846083,0.007968381658645,0.000646067542537
88,0.000738292285974,0.007971288525085,0.000700555362575
96,0.001176915922271,0.007962053608908,0.001129764461291
104,0.001109136302559,0.007904336166016,0.001050357479727
112,0.000647638916767,0.007889148607177,0.00063047532059
120,0.000590725261632,0.007838501156894,0.000573139268791
128,0.000675503966071,0.00784176657304,0.000643506358783
136,0.000482008261638,0.007690667321785,0.000450925189458
144,0.00085933936568,0.008040286033604,0.000811901393873
152,0.000558638702906,0.007795906024209,0.000528810516644
160,0.000635775177916,0.007891350872039,0.000584578824378
168,0.000628664594842,0.007848357550231,0.000587163187824
176,0.000599486520352,0.00788503601302,0.000578958259063
184,0.000537793126541,0.00786925008417,0.000480758019721
192,0.000620317819024,0.007831700269081,0.000608465497876
200,0.00057046424217,0.007882532921051,0.000522853393287
208,0.000942742003826,0.008012920615039,0.000891170248549
216,0.000634736580509,0.007825266490518,0.000615072261092
224,0.000918850960658,0.007834769265847,0.000870764233534
232,0.000670585305003,0.007876388413866,0.000624140148715
240,0.000572153064153,0.007984382096092,0.000529834521768
248,0.000568720650713,0.007790507129135,0.000542950785893
256,0.000730016339232,0.008106321347791,0.000670210391831
