size, bimodal, words only, image only
8,6.79094731868578E-07,7.12967703377756E-07,6.59158719587241E-07
16,1.07237177281326E-06,1.09140166915512E-06,9.71351613017119E-07
24,1.00657070110746E-06,9.80542761521132E-07,1.0144262551682E-06
32,7.94977786447951E-07,8.09613832567872E-07,8.34595118967038E-07
40,1.30959666206662E-06,1.17433514356401E-06,1.2013651439386E-06
48,8.37710670964498E-07,7.30394902419633E-07,7.63681969941756E-07
56,8.89030826030008E-07,8.85680906195477E-07,8.55734747747024E-07
64,1.20895270554313E-06,1.21180032671738E-06,1.18050642733444E-06
72,1.16825185287965E-06,1.10927174737888E-06,1.14953471429165E-06
80,6.7562742240023E-07,6.7842133925448E-07,6.62274583012951E-07
88,1.10123028054819E-06,1.11621605469736E-06,1.05843625909251E-06
96,1.37847625817737E-06,1.38603614577396E-06,1.33611717208842E-06
104,1.2825241583414E-06,1.26757678302696E-06,1.32392023570244E-06
112,7.35496449785252E-07,7.21771749988841E-07,7.25587341426709E-07
120,8.51404472520564E-07,8.27590953791615E-07,8.45697974227733E-07
128,9.1513787502343E-07,8.81477405898665E-07,8.9067065129324E-07
136,8.00730147063775E-07,7.79426504967281E-07,7.82551936877267E-07
144,1.29850351150388E-06,1.31488932584876E-06,1.29990686382876E-06
152,8.90002284742658E-07,9.62525868325665E-07,8.71428142669696E-07
160,9.86971580611377E-07,9.31941495233938E-07,8.98493785446893E-07
168,9.67299380005426E-07,9.53125626884449E-07,9.55176503015099E-07
176,1.24293708162676E-06,1.23884279480114E-06,1.18284161266678E-06
184,1.02139599728498E-06,1.02074088414594E-06,1.04656627468313E-06
192,9.99101579397861E-07,9.94975050827162E-07,1.00328410094672E-06
200,9.46152190629669E-07,8.64670856462571E-07,9.27464941153428E-07
208,1.31696348320163E-06,1.3243868800651E-06,1.30435861159918E-06
216,1.100914677097E-06,1.02799225487615E-06,1.06880798777335E-06
224,1.20334686368164E-06,1.20929757309164E-06,1.15960183488066E-06
232,1.17012148797989E-06,1.15145120263252E-06,1.15332543225998E-06
240,1.20258192253089E-06,1.10317891026339E-06,1.19840846924422E-06
248,9.16118670214996E-07,8.85242762386177E-07,9.13090567712094E-07
256,1.29656922122531E-06,1.26866898510882E-06,1.29594863983163E-06
