size, bimodal, words only, image only
8,0.012332946978552,0.013416613379269,0.012868099451527
40,0.00600433821705,0.006255272303793,0.006319109182553
72,0.005784686700941,0.005957984891912,0.005648633222606
104,0.005580356199874,0.005835008529095,0.005466601743407
136,0.005635536627322,0.005966422228031,0.005817958598982
168,0.005295898522263,0.00572067347796,0.004909911116819
200,0.005367611146511,0.005698088078181,0.007560476595357
232,0.005217408427542,0.005661142045918,0.004975400475352
264,0.005242240212196,0.005565615932167,0.012703376296713
296,0.00526257421965,0.005714269725362,0.005090934050285
