size, bimodal, words only, image only
8,0.012333556380192,0.013417158014389,0.013009076127371
40,0.00600489875583,0.006255840617822,0.006568122599168
72,0.005785295329597,0.005958591190437,0.005700108626021
104,0.005581041052573,0.005835750395186,0.005577274442579
136,0.005636322708217,0.005967305264249,0.006805875902051
168,0.0052965283531,0.005721273458549,0.00491051021096
200,0.005368342600047,0.00569883233052,0.014782380001743
232,0.005218007555447,0.005661774245359,0.004976036218827
264,0.005242869552564,0.005566148916485,0.039259941199101
296,0.005263143649409,0.005714845367919,0.005212982563734
