size,bimodal,word only,image only
8,6.09411366867705E-07,5.446317627873E-07,0.000140976674365
40,5.60537807547186E-07,5.68320516193769E-07,0.000249013415658
72,6.08621983876823E-07,6.06310257309259E-07,5.14754061166624E-05
104,6.84854021176906E-07,7.4187226310605E-07,0.000110672697252
136,7.86080994306965E-07,8.83031785665066E-07,0.000987917306701
168,6.2983576334607E-07,5.99976628343869E-07,5.99089619817601E-07
200,7.31445724717313E-07,7.44244624194253E-07,0.007221903433535
232,5.9912553080334E-07,6.32200607665426E-07,6.35740513358975E-07
264,6.29337719482496E-07,5.32985431131347E-07,0.026556564900997
296,5.69436003756044E-07,5.7564313611097E-07,0.000122048513112
