size, bimodal, words only, image only
8,6.79094764711442E-07,7.12967462319554E-07,6.59158640216986E-07
9,7.61723252493438E-07,8.05929650587805E-07,7.82560468284946E-07
10,1.20160038521691E-06,1.5320926931079E-06,1.11614652374846E-06
11,8.17879247521163E-07,8.98022459291833E-07,8.1802562121951E-07
12,1.21019401933398E-06,1.23106269869469E-06,1.19835532206867E-06
13,8.90241727591746E-07,9.08590225081854E-07,8.53564260536485E-07
14,7.28219122613104E-07,7.07200816426242E-07,7.31626672516254E-07
15,8.93444813296237E-07,7.80597597819603E-07,7.87041973795668E-07
16,1.07237164402081E-06,1.09140172863017E-06,9.71351802284651E-07
17,8.32666506924953E-07,7.71620186149583E-07,8.02824614675467E-07
18,8.39735431702172E-07,8.40949023536605E-07,8.18729636962332E-07
19,7.58893050221719E-07,7.02962116105465E-07,6.9514925684715E-07
20,9.46154799058368E-07,9.54819755244679E-07,8.94957453567713E-07
21,1.15097624023553E-06,1.03266650499892E-06,1.16505882293386E-06
22,7.67856083006825E-07,7.72642736095535E-07,7.28352155687373E-07
23,8.4105817537479E-07,8.75194182278257E-07,8.23603874127659E-07
